Product_Name,Product_Price,Off,Product_Rating,Solds,Local,Original_Price
Mini Projetor Portátil Curta Distancia Led 1080p 600 Lúmens Hdmi YG300 Envio Imediato,"117,50",-51%,4.5,"17,4mil vendidos",São Paulo,239.795918367347
Máquina De Algodão Doce Elétrica Portatil Mini 110v,"118,80",-6%,4.8,12 vendidos,São Paulo,126.3829787234043
Sanduicheira Grill Elétrica Lenoxx Easy PSD119 Vermelha,"79,99",-23%,4.8,947 vendidos,Rio de Janeiro,103.8831168831169
Ventilador de Mesa Mondial 6 Pás Super Power Preto VSP-30-B - 30cm 127V,"119,90",-14%,4.9,818 vendidos,Bahia,139.4186046511628
Aspirador de Pó Vertical 2 em 1 Philco Ph1100AZ Rapid Turbo 1250W,"239,90", ,4.9,"1,5mil vendidos",Espírito Santo,239.9
Aparelho de Passar Roupa a Vapor Cadence Lisser VAP901 Branco 127V,"97,99",-48%,4.8,36 vendidos,Rio de Janeiro,188.4423076923077
Cooktop de Indução 4 Bocas Preto com Trava de Segurança Dako Supreme 220V,"1.719,00", , ,1 vendidos,Paraná,1719.0
Aspirador de Pó Robô Automático 3 em 1 Varre Aspira e Passa Pano MOP WAP ROBOT W90 PÉROLA - Bivolt,"459,90", ,4.9,100 vendidos,Espírito Santo,459.9
"Filtro de linha Ts shara + Protetor 6 Tomadas 1,5M","43,90", ,4.7,4 vendidos,Espírito Santo,43.9
Máquina de Macarrão Portátil Sem Fio Amarela Tomate,"174,53",-65%,5.0,2 vendidos,São Paulo,498.6571428571429
"Filtro de linha Ts shara + Protetor 8 Tomadas 1,5M","49,90", , , ,Espírito Santo,49.9
Papa Bolinhas Eletrico Recarregável X-7001 Bivolt,"49,53",-45%, ,1 vendidos,São Paulo,90.05454545454545
Controle Remoto para Fita LED RGB com Controlador Eletrorastro,"6,80", ,4.9,141 vendidos,Ceará,6.8
Projetor Hy300 Hd 200 Ansi Smart Cinema Bluetooth 5.0 Bivolt Android 11 5G Wifi 6 Envio Imediato,"317,50",-57%,4.9,258 vendidos,São Paulo,738.3720930232557
Aspirador de Pó Vertical 2 em 1 Kärcher VCL 2 com Filtro Hepa 1000W,"259,00",-35%,4.9,"1,3mil vendidos",São Paulo,398.4615384615385
